Date,Open,High,Low,Close,Adjusted_close,Volume
2023-10-06,441.93,457.89,440.26,457.62,457.62,43339700
2023-10-09,448.42,456.05,443.68,452.73,452.73,40967500
2023-10-10,453.1,462.59,450.88,457.98,457.98,36858200
2023-10-11,461.96,468.59,460.5,468.06,468.06,37813700
2023-10-12,467.77,476.09,463.3,469.45,469.45,48132500
2023-10-13,469.6,471.16,452.8,454.61,454.61,47411500
2023-10-16,450.63,462.25,449.12,460.95,460.95,37509900
2023-10-17,440,447.54,424.8,439.38,439.38,81233300
2023-10-18,425.91,432.19,418.25,421.96,421.96,62729400
2023-10-19,428.11,432.97,418.82,421.01,421.01,50123300
2023-10-20,418.9,424.7,410.78,413.87,413.87,47638100
2023-10-23,412.29,432.48,409.45,429.75,429.75,47853000
2023-10-24,430.77,436.97,426.91,436.63,436.63,40146300
2023-10-25,433.98,436.5,415.55,417.79,417.79,39837900
2023-10-26,418.53,422.56,398.8,403.26,403.26,54100100
2023-10-27,411.3,412.06,400.15,405,405,41678400
2023-10-30,410.87,417.66,404.81,411.61,411.61,38802800
2023-10-31,404.5,408.79,392.3,407.8,407.8,51696500
2023-11-01,408.84,423.81,408.69,423.25,423.25,43378323
